d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb,memory_pressure,elapsed_time
100,100,1200,False,False,True,11020,278480,744980,0.15,130.89864230155945
100,100,1200,False,False,True,10952,301980,705540,0.2,137.69912958145142
100,100,1200,False,False,True,11024,290332,665744,0.25,133.58572697639465
100,100,1200,False,False,True,11052,298940,627356,0.3,142.76272535324097
100,100,1200,False,False,True,11068,295792,589804,0.35,147.78120708465576
100,100,1200,False,False,True,11088,284936,543152,0.4,147.78468203544617
100,100,1200,False,False,True,11120,298540,509476,0.45,145.5482668876648
100,100,1200,False,False,True,10976,293204,776700,0.0,142.88621187210083
100,100,1200,False,False,True,11088,299852,789820,0.05,147.78099656105042
100,100,1200,False,False,True,11048,285692,768960,0.1,147.13818430900574
100,100,1200,False,False,True,11160,288336,750760,0.15,138.16751527786255
100,100,1200,False,False,True,11252,285408,710944,0.2,146.21431183815002
100,100,1200,False,False,True,11296,292084,672000,0.25,146.7912974357605
100,100,1200,False,False,True,11108,284856,633104,0.3,143.00061702728271
100,100,1200,False,False,True,11100,293372,595512,0.35,138.33862924575806
100,100,1200,False,False,True,11060,295336,547812,0.4,134.2717161178589
100,100,1200,False,False,True,11096,292508,514404,0.45,144.0039460659027
100,100,1200,False,False,True,11028,297924,782952,0.0,145.47060561180115
100,100,1200,False,False,True,11096,295828,779644,0.05,155.40079951286316
100,100,1200,False,False,True,11308,298076,780568,0.1,158.76149606704712
100,100,1200,False,False,True,11064,279484,741148,0.15,135.64027738571167
100,100,1200,False,False,True,11104,286428,704080,0.2,128.4824604988098
100,100,1200,False,False,True,11012,280804,665000,0.25,124.40844583511353
100,100,1200,False,False,True,11028,293108,627152,0.3,132.66529083251953
100,100,1200,False,False,True,11176,289884,587792,0.35,127.10302424430849
100,100,1200,False,False,True,11128,286844,540540,0.400,123.24655103683472
