iteration,d1,d2,d3,varying_d1,varying_d2,varying_d3,initial_memory_usage_kb,input_data_memory_usage_kb,final_memory_usage_kb
27,800,100,100,True,False,False,11296,284484,663264
27,100,800,100,False,True,False,10944,286024,665360
27,100,100,800,False,False,True,11044,298504,677620
28,800,100,100,True,False,False,11084,291304,668284
28,100,800,100,False,True,False,11004,294704,672008
28,100,100,800,False,False,True,11156,299156,677008
29,800,100,100,True,False,False,11172,298716,675488
29,100,800,100,False,True,False,11076,298092,674708
29,100,100,800,False,False,True,11060,300428,679968
30,800,100,100,True,False,False,11228,291092,672072
30,100,800,100,False,True,False,11156,292512,673236
30,100,100,800,False,False,True,11300,287428,666228
31,800,100,100,True,False,False,10996,296424,673652
31,100,800,100,False,True,False,11172,303028,681736
31,100,100,800,False,False,True,11088,303464,680424
32,800,100,100,True,False,False,10972,308612,685716
32,100,800,100,False,True,False,11156,306716,685616
32,100,100,800,False,False,True,11292,291016,670852
33,800,100,100,True,False,False,11100,285156,665136
33,100,800,100,False,True,False,11044,293632,674340
33,100,100,800,False,False,True,11056,289452,670180
34,800,100,100,True,False,False,11008,295860,675108
34,100,800,100,False,True,False,11060,296368,673884
34,100,100,800,False,False,True,11060,288360,669096
35,800,100,100,True,False,False,10932,286456,663688
35,100,800,100,False,True,False,11112,291540,670780
35,100,100,800,False,False,True,11048,299136,680664
1,1000,100,100,True,False,False,11036,302924,682192
1,100,1000,100,False,True,False,11008,320644,701588
1,100,100,1000,False,False,True,11224,302952,682120
2,1000,100,100,True,False,False,11120,302404,679040
2,100,1000,100,False,True,False,11092,313928,693048
2,100,100,1000,False,False,True,11176,305872,682648
3,1000,100,100,True,False,False,11036,314740,695688
3,100,1000,100,False,True,False,10912,300548,682524
3,100,100,1000,False,False,True,11044,299696,680436
4,1000,100,100,True,False,False,10936,318840,697840
4,100,1000,100,False,True,False,11160,317572,695768
4,100,100,1000,False,False,True,11116,323292,702040
5,1000,100,100,True,False,False,11160,313996,694900
5,100,1000,100,False,True,False,11044,299544,676720
5,100,100,1000,False,False,True,10944,317448,696268
6,1000,100,100,True,False,False,11156,307616,687404
6,100,1000,100,False,True,False,11160,310180,692052
6,100,100,1000,False,False,True,11124,312348,693152
7,1000,100,100,True,False,False,11156,299636,678304
7,100,1000,100,False,True,False,11056,306916,685496
7,100,100,1000,False,False,True,11128,304408,682972
8,1000,100,100,True,False,False,11076,298668,675768
8,100,1000,100,False,True,False,11120,308640,687400
8,100,100,1000,False,False,True,11160,305388,683892
9,1000,100,100,True,False,False,11092,312200,691852
9,100,1000,100,False,True,False,11044,321672,701016
9,100,100,1000,False,False,True,10932,316856,695656
10,1000,100,100,True,False,False,11164,311984,692768
10,100,1000,100,False,True,False,10932,308232,689240
10,100,100,1000,False,False,True,11232,303528,680572
11,1000,100,100,True,False,False,11008,297272,676380
11,100,1000,100,False,True,False,11232,299316,678192
11,100,100,1000,False,False,True,11080,302532,681472
12,1000,100,100,True,False,False,11160,304576,685368
12,100,1000,100,False,True,False,11160,303812,682692
12,100,100,1000,False,False,True,11052,292448,669436
13,1000,100,100,True,False,False,11116,300668,677652
13,100,1000,100,False,True,False,11104,293512,674352
13,100,100,1000,False,False,True,11172,300304,681400
14,1000,100,100,True,False,False,11116,299588,680812
14,100,1000,100,False,True,False,11156,305140,685240
14,100,100,1000,False,False,True,11228,304268,683064
15,1000,100,100,True,False,False,11076,306428,683304
15,100,1000,100,False,True,False,10944,297488,676764
15,100,100,1000,False,False,True,11004,305580,682648
16,1000,100,100,True,False,False,11000,300564,680032
16,100,1000,100,False,True,False,11192,301992,680956
16,100,100,1000,False,False,True,11228,296668,673868
17,1000,100,100,True,False,False,11232,299740,677356
17,100,1000,100,False,True,False,11224,306120,685124
17,100,100,1000,False,False,True,11100,301096,679900
18,1000,100,100,True,False,False,11020,305756,684700
18,100,1000,100,False,True,False,11220,300620,679628
18,100,100,1000,False,False,True,11064,302608,684724
19,1000,100,100,True,False,False,11020,309516,688460
19,100,1000,100,False,True,False,11080,313036,689856
19,100,100,1000,False,False,True,11072,304848,682148
20,1000,100,100,True,False,False,10912,307764,686540
20,100,1000,100,False,True,False,10908,293324,675344
20,100,100,1000,False,False,True,11060,306948,683732
21,1000,100,100,True,False,False,11252,300816,679596
21,100,1000,100,False,True,False,10956,303460,682492
21,100,100,1000,False,False,True,11048,297356,676396
22,1000,100,100,True,False,False,11108,302668,681480
22,100,1000,100,False,True,False,11092,298452,677684
22,100,100,1000,False,False,True,11012,300236,681240
23,1000,100,100,True,False,False,11232,300524,679760
23,100,1000,100,False,True,False,11128,305716,684668
23,100,100,1000,False,False,True,11040,307080,686104
24,1000,100,100,True,False,False,10980,302668,682188
24,100,1000,100,False,True,False,11100,298668,675492
24,100,100,1000,False,False,True,11080,300268,679592
25,1000,100,100,True,False,False,11120,305152,683896
25,100,1000,100,False,True,False,11176,302224,681060
25,100,100,1000,False,False,True,11152,307940,686612
26,1000,100,100,True,False,False,11112,307376,686012
26,100,1000,100,False,True,False,11124,306564,682956
26,100,100,1000,False,False,True,10944,298300,677748
27,1000,100,100,True,False,False,11168,303420,681344
27,100,1000,100,False,True,False,10972,303176,680280
27,100,100,1000,False,False,True,11052,300800,677840
28,1000,100,100,True,False,False,10988,290716,669628
28,100,1000,100,False,True,False,11160,300896,679476
28,100,100,1000,False,False,True,11112,311108,688816
29,1000,100,100,True,False,False,11168,297564,676980
29,100,1000,100,False,True,False,11028,305064,681644
29,100,100,1000,False,False,True,11176,306468,685404
30,1000,100,100,True,False,False,11176,306280,685132
30,100,1000,100,False,True,False,11056,309096,688152
30,100,100,1000,False,False,True,11008,298800,677744
31,1000,100,100,True,False,False,10976,302928,682068
31,100,1000,100,False,True,False,11096,306840,685524
31,100,100,1000,False,False,True,11124,301636,680612
32,1000,100,100,True,False,False,11024,299028,675936
32,100,1000,100,False,True,False,11100,300900,679616
32,100,100,1000,False,False,True,11040,300176,679780
33,1000,100,100,True,False,False,11016,302388,681460
33,100,1000,100,False,True,False,11012,305352,684688
33,100,100,1000,False,False,True,11024,287260,664128
34,1000,100,100,True,False,False,11108,304640,681708
34,100,1000,100,False,True,False,10948,303488,680832
34,100,100,1000,False,False,True,11124,300016,678752
35,1000,100,100,True,False,False,10988,298776,677888
35,100,1000,100,False,True,False,11172,296980,675540
35,100,100,1000,False,False,True,11164,302652,682236
1,1200,100,100,True,False,False,11104,310124,689148
1,100,1200,100,False,True,False,11128,309932,686472
1,100,100,1200,False,False,True,11076,306492,683596
2,1200,100,100,True,False,False,11116,322192,701120
2,100,1200,100,False,True,False,11104,317556,694324
2,100,100,1200,False,False,True,11016,313768,692720
3,1200,100,100,True,False,False,11008,324668,702564
3,100,1200,100,False,True,False,11156,315788,692792
3,100,100,1200,False,False,True,10944,314144,691472
4,1200,100,100,True,False,False,10984,326348,705524
4,100,1200,100,False,True,False,11084,324600,701692
4,100,100,1200,False,False,True,11092,313020,692036
5,1200,100,100,True,False,False,11096,318136,697164
5,100,1200,100,False,True,False,11232,318964,698164
5,100,100,1200,False,False,True,11160,316516,697464
6,1200,100,100,True,False,False,10928,319220,698456
6,100,1200,100,False,True,False,11228,321552,698552
6,100,100,1200,False,False,True,11016,305528,682436
7,1200,100,100,True,False,False,11292,316428,695424
7,100,1200,100,False,True,False,11104,319844,698816
7,100,100,1200,False,False,True,11160,323476,703336
8,1200,100,100,True,False,False,11132,316128,692684
8,100,1200,100,False,True,False,10992,309156,688024
8,100,100,1200,False,False,True,11020,318180,695284
9,1200,100,100,True,False,False,10944,317588,694780
9,100,1200,100,False,True,False,10932,312596,689456
9,100,100,1200,False,False,True,11004,304032,681256
10,1200,100,100,True,False,False,11164,325780,702908
10,100,1200,100,False,True,False,11232,314500,695612
10,100,100,1200,False,False,True,11020,311984,688308
11,1200,100,100,True,False,False,11076,316768,694108
11,100,1200,100,False,True,False,11040,326120,706012
11,100,100,1200,False,False,True,11116,314240,691180
12,1200,100,100,True,False,False,10976,309568,686484
12,100,1200,100,False,True,False,10948,319272,698224
12,100,100,1200,False,False,True,11228,324848,702284
